x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-560.0E-03,-587.7E-03,+388.7E-03,+2.1391E+00,-2.3195E+00
-550.0E-03,-527.2E-03,+732.4E-03,+1.7523E+00,-1.8937E+00
-540.0E-03,-594.0E-03,+257.8E-03,+1.4418E+00,-1.5520E+00
-530.0E-03,-678.7E-03,-255.9E-03,+1.7152E+00,-1.8527E+00
-520.0E-03,-642.8E-03,+25.4E-03,+2.1254E+00,-2.3039E+00
-510.0E-03,-543.6E-03,+648.4E-03,+2.0023E+00,-2.1672E+00
-500.0E-03,-542.0E-03,+593.8E-03,+1.5434E+00,-1.6633E+00
-490.0E-03,-641.2E-03,-48.8E-03,+1.4945E+00,-1.6105E+00
-480.0E-03,-678.7E-03,-236.3E-03,+1.9359E+00,-2.0949E+00
-470.0E-03,-594.8E-03,+335.9E-03,+2.1488E+00,-2.3293E+00
-460.0E-03,-525.2E-03,+738.3E-03,+1.7895E+00,-1.9328E+00
-450.0E-03,-583.4E-03,+314.5E-03,+1.4418E+00,-1.5520E+00
-440.0E-03,-673.7E-03,-240.2E-03,+1.6723E+00,-1.8059E+00
-430.0E-03,-647.9E-03,-23.4E-03,+2.1000E+00,-2.2766E+00
-420.0E-03,-548.3E-03,+611.3E-03,+2.0277E+00,-2.1965E+00
-410.0E-03,-537.3E-03,+625.0E-03,+1.5707E+00,-1.6945E+00
-400.0E-03,-632.7E-03,-3.9E-03,+1.4770E+00,-1.5910E+00
-390.0E-03,-679.1E-03,-250.0E-03,+1.8988E+00,-2.0559E+00
-380.0E-03,-601.8E-03,+287.1E-03,+2.1488E+00,-2.3293E+00
-370.0E-03,-526.8E-03,+732.4E-03,+1.8227E+00,-1.9719E+00
-360.0E-03,-576.4E-03,+359.4E-03,+1.4496E+00,-1.5598E+00
-350.0E-03,-669.4E-03,-220.7E-03,+1.6410E+00,-1.7707E+00
-340.0E-03,-653.4E-03,-62.5E-03,+2.0805E+00,-2.2551E+00
-330.0E-03,-553.4E-03,+578.1E-03,+2.0492E+00,-2.2199E+00
-320.0E-03,-532.7E-03,+654.3E-03,+1.5961E+00,-1.7238E+00
-310.0E-03,-625.2E-03,+41.0E-03,+1.4594E+00,-1.5715E+00
-300.0E-03,-679.9E-03,-263.7E-03,+1.8637E+00,-2.0168E+00
-290.0E-03,-608.4E-03,+238.3E-03,+2.1527E+00,-2.3332E+00
-280.0E-03,-526.0E-03,+732.4E-03,+1.8539E+00,-2.0051E+00
-270.0E-03,-568.2E-03,+408.2E-03,+1.4555E+00,-1.5676E+00
-260.0E-03,-665.9E-03,-201.2E-03,+1.6039E+00,-1.7316E+00
-250.0E-03,-661.2E-03,-109.4E-03,+2.0609E+00,-2.2336E+00
-240.0E-03,-562.3E-03,+535.2E-03,+2.0824E+00,-2.2570E+00
-230.0E-03,-530.7E-03,+683.6E-03,+1.6352E+00,-1.7668E+00
-220.0E-03,-619.0E-03,+91.8E-03,+1.4516E+00,-1.5656E+00
-210.0E-03,-683.0E-03,-271.5E-03,+1.8305E+00,-1.9797E+00
-200.0E-03,-620.2E-03,+181.6E-03,+2.1547E+00,-2.3371E+00
-190.0E-03,-533.8E-03,+712.9E-03,+1.9008E+00,-2.0578E+00
-180.0E-03,-565.1E-03,+455.1E-03,+1.4848E+00,-1.6008E+00
-170.0E-03,-663.5E-03,-166.0E-03,+1.5883E+00,-1.7160E+00
-160.0E-03,-668.6E-03,-138.7E-03,+2.0434E+00,-2.2121E+00
-150.0E-03,-571.7E-03,+494.1E-03,+2.1059E+00,-2.2824E+00
-140.0E-03,-531.9E-03,+699.2E-03,+1.6762E+00,-1.8098E+00
-130.0E-03,-613.5E-03,+140.6E-03,+1.4535E+00,-1.5637E+00
-120.0E-03,-684.6E-03,-271.5E-03,+1.8031E+00,-1.9504E+00
-110.0E-03,-629.1E-03,+134.8E-03,+2.1547E+00,-2.3371E+00
-100.0E-03,-538.1E-03,+699.2E-03,+1.9379E+00,-2.0969E+00
-90.0E-03,-560.4E-03,+498.0E-03,+1.5043E+00,-1.6223E+00
-80.0E-03,-658.8E-03,-134.8E-03,+1.5629E+00,-1.6867E+00
-70.0E-03,-673.3E-03,-169.9E-03,+2.0180E+00,-2.1848E+00
-60.0E-03,-579.9E-03,+449.2E-03,+2.1254E+00,-2.3020E+00
-50.0E-03,-530.3E-03,+716.8E-03,+1.7094E+00,-1.8488E+00
-40.0E-03,-606.9E-03,+189.5E-03,+1.4496E+00,-1.5598E+00
-30.0E-03,-683.8E-03,-267.6E-03,+1.7680E+00,-1.9113E+00
-20.0E-03,-636.6E-03,+87.9E-03,+2.1488E+00,-2.3312E+00
-10.0E-03,-540.9E-03,+681.6E-03,+1.9711E+00,-2.1320E+00
+0.0E+00,-553.0E-03,+543.0E-03,+1.5199E+00,-1.6398E+00
+10.0E-03,-653.4E-03,-101.6E-03,+1.5336E+00,-1.6535E+00
+20.0E-03,-678.4E-03,-205.1E-03,+1.9867E+00,-2.1516E+00
+30.0E-03,-588.1E-03,+400.4E-03,+2.1449E+00,-2.3254E+00
+40.0E-03,-529.9E-03,+730.5E-03,+1.7504E+00,-1.8918E+00
+50.0E-03,-598.7E-03,+244.1E-03,+1.4496E+00,-1.5617E+00
+60.0E-03,-681.5E-03,-257.8E-03,+1.7328E+00,-1.8723E+00
+70.0E-03,-642.4E-03,+39.1E-03,+2.1332E+00,-2.3117E+00
+80.0E-03,-545.2E-03,+652.3E-03,+1.9984E+00,-2.1633E+00
+90.0E-03,-547.1E-03,+580.1E-03,+1.5434E+00,-1.6652E+00
+100.0E-03,-645.9E-03,-62.5E-03,+1.5102E+00,-1.6281E+00
+110.0E-03,-682.3E-03,-228.5E-03,+1.9555E+00,-2.1164E+00
+120.0E-03,-596.7E-03,+349.6E-03,+2.1547E+00,-2.3371E+00
+130.0E-03,-530.3E-03,+736.3E-03,+1.7895E+00,-1.9367E+00
+140.0E-03,-591.2E-03,+296.9E-03,+1.4555E+00,-1.5656E+00
+150.0E-03,-680.3E-03,-246.1E-03,+1.6977E+00,-1.8332E+00
+160.0E-03,-654.1E-03,-13.7E-03,+2.1234E+00,-2.3020E+00
+170.0E-03,-555.7E-03,+615.2E-03,+2.0414E+00,-2.2102E+00
+180.0E-03,-547.1E-03,+615.2E-03,+1.5883E+00,-1.7141E+00
+190.0E-03,-642.0E-03,-11.7E-03,+1.5063E+00,-1.6242E+00
+200.0E-03,-685.8E-03,-240.2E-03,+1.9301E+00,-2.0871E+00
+210.0E-03,-607.3E-03,+302.7E-03,+2.1664E+00,-2.3488E+00
+220.0E-03,-534.6E-03,+730.5E-03,+1.8305E+00,-1.9777E+00
+230.0E-03,-587.7E-03,+341.8E-03,+1.4711E+00,-1.5852E+00
+240.0E-03,-679.9E-03,-228.5E-03,+1.6781E+00,-1.8117E+00
+250.0E-03,-660.8E-03,-48.8E-03,+2.1137E+00,-2.2902E+00
+260.0E-03,-561.6E-03,+589.8E-03,+2.0688E+00,-2.2414E+00
+270.0E-03,-542.8E-03,+646.5E-03,+1.6137E+00,-1.7414E+00
+280.0E-03,-635.8E-03,+27.3E-03,+1.4887E+00,-1.6047E+00
+290.0E-03,-686.2E-03,-253.9E-03,+1.8969E+00,-2.0500E+00
+300.0E-03,-611.2E-03,+257.8E-03,+2.1664E+00,-2.3488E+00
+310.0E-03,-531.9E-03,+734.4E-03,+1.8559E+00,-2.0070E+00
+320.0E-03,-576.0E-03,+390.6E-03,+1.4652E+00,-1.5773E+00
