x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-560.0E-03,-595.2E-03,+201.2E-03,+1.7758E+00,-1.9191E+00
-550.0E-03,-585.4E-03,+255.9E-03,+1.7387E+00,-1.8801E+00
-540.0E-03,-594.4E-03,+207.0E-03,+1.7777E+00,-1.9230E+00
-530.0E-03,-587.0E-03,+250.0E-03,+1.7426E+00,-1.8840E+00
-520.0E-03,-593.6E-03,+214.8E-03,+1.7797E+00,-1.9250E+00
-510.0E-03,-588.1E-03,+246.1E-03,+1.7406E+00,-1.8840E+00
-500.0E-03,-592.4E-03,+222.7E-03,+1.7797E+00,-1.9230E+00
-490.0E-03,-586.6E-03,+242.2E-03,+1.7387E+00,-1.8801E+00
-480.0E-03,-589.7E-03,+230.5E-03,+1.7738E+00,-1.9172E+00
-470.0E-03,-587.0E-03,+232.4E-03,+1.7309E+00,-1.8703E+00
-460.0E-03,-588.9E-03,+230.5E-03,+1.7719E+00,-1.9152E+00
-450.0E-03,-587.7E-03,+226.6E-03,+1.7328E+00,-1.8723E+00
-440.0E-03,-586.6E-03,+240.2E-03,+1.7738E+00,-1.9172E+00
-430.0E-03,-585.8E-03,+226.6E-03,+1.7289E+00,-1.8684E+00
-420.0E-03,-582.3E-03,+252.0E-03,+1.7621E+00,-1.9035E+00
-410.0E-03,-585.0E-03,+216.8E-03,+1.7191E+00,-1.8586E+00
-400.0E-03,-579.1E-03,+253.9E-03,+1.7543E+00,-1.8957E+00
-390.0E-03,-582.7E-03,+210.9E-03,+1.7152E+00,-1.8527E+00
-380.0E-03,-576.0E-03,+259.8E-03,+1.7484E+00,-1.8898E+00
-370.0E-03,-583.0E-03,+203.1E-03,+1.7094E+00,-1.8488E+00
-360.0E-03,-577.2E-03,+257.8E-03,+1.7484E+00,-1.8898E+00
-350.0E-03,-586.6E-03,+191.4E-03,+1.7172E+00,-1.8566E+00
-340.0E-03,-578.0E-03,+263.7E-03,+1.7582E+00,-1.8996E+00
-330.0E-03,-588.1E-03,+191.4E-03,+1.7270E+00,-1.8645E+00
-320.0E-03,-576.8E-03,+273.4E-03,+1.7563E+00,-1.8996E+00
-310.0E-03,-587.7E-03,+191.4E-03,+1.7230E+00,-1.8625E+00
-300.0E-03,-576.0E-03,+277.3E-03,+1.7504E+00,-1.8918E+00
-290.0E-03,-588.9E-03,+183.6E-03,+1.7211E+00,-1.8605E+00
-280.0E-03,-576.0E-03,+275.4E-03,+1.7523E+00,-1.8937E+00
-270.0E-03,-588.9E-03,+183.6E-03,+1.7250E+00,-1.8645E+00
-260.0E-03,-575.2E-03,+283.2E-03,+1.7523E+00,-1.8937E+00
-250.0E-03,-589.7E-03,+179.7E-03,+1.7250E+00,-1.8625E+00
-240.0E-03,-576.0E-03,+281.2E-03,+1.7523E+00,-1.8937E+00
-230.0E-03,-592.0E-03,+175.8E-03,+1.7289E+00,-1.8684E+00
-220.0E-03,-578.0E-03,+279.3E-03,+1.7582E+00,-1.8996E+00
-210.0E-03,-594.8E-03,+173.8E-03,+1.7367E+00,-1.8781E+00
-200.0E-03,-581.5E-03,+279.3E-03,+1.7660E+00,-1.9094E+00
-190.0E-03,-597.5E-03,+173.8E-03,+1.7465E+00,-1.8879E+00
-180.0E-03,-583.0E-03,+283.2E-03,+1.7738E+00,-1.9172E+00
-170.0E-03,-597.9E-03,+177.7E-03,+1.7484E+00,-1.8898E+00
-160.0E-03,-583.0E-03,+287.1E-03,+1.7719E+00,-1.9152E+00
-150.0E-03,-597.9E-03,+177.7E-03,+1.7484E+00,-1.8879E+00
-140.0E-03,-582.3E-03,+287.1E-03,+1.7719E+00,-1.9152E+00
-130.0E-03,-599.1E-03,+173.8E-03,+1.7484E+00,-1.8898E+00
-120.0E-03,-583.4E-03,+285.2E-03,+1.7719E+00,-1.9152E+00
-110.0E-03,-599.1E-03,+175.8E-03,+1.7504E+00,-1.8918E+00
-100.0E-03,-583.0E-03,+287.1E-03,+1.7738E+00,-1.9172E+00
-90.0E-03,-598.3E-03,+177.7E-03,+1.7484E+00,-1.8898E+00
-80.0E-03,-584.2E-03,+283.2E-03,+1.7738E+00,-1.9172E+00
-70.0E-03,-600.6E-03,+173.8E-03,+1.7504E+00,-1.8937E+00
-60.0E-03,-586.6E-03,+281.3E-03,+1.7816E+00,-1.9250E+00
-50.0E-03,-601.4E-03,+175.8E-03,+1.7582E+00,-1.8996E+00
-40.0E-03,-585.8E-03,+287.1E-03,+1.7836E+00,-1.9270E+00
-30.0E-03,-601.4E-03,+179.7E-03,+1.7563E+00,-1.8977E+00
-20.0E-03,-587.0E-03,+283.2E-03,+1.7816E+00,-1.9250E+00
-10.0E-03,-603.4E-03,+173.8E-03,+1.7602E+00,-1.9016E+00
+0.0E+00,-588.5E-03,+281.2E-03,+1.7875E+00,-1.9328E+00
+10.0E-03,-603.0E-03,+179.7E-03,+1.7641E+00,-1.9055E+00
+20.0E-03,-588.1E-03,+285.2E-03,+1.7875E+00,-1.9328E+00
+30.0E-03,-602.6E-03,+179.7E-03,+1.7582E+00,-1.8996E+00
