x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-560.0E-03,-621.7E-03,-117.2E-03,+2.3402E+00,-2.5422E+00
-550.0E-03,-504.9E-03,+628.9E-03,+2.3148E+00,-2.5129E+00
-540.0E-03,-435.8E-03,+1.0059E+00,+1.6859E+00,-1.8215E+00
-530.0E-03,-481.9E-03,+658.2E-03,+1.0414E+00,-1.1047E+00
-520.0E-03,-598.7E-03,-87.9E-03,+982.8E-03,-1.0402E+00
-510.0E-03,-676.8E-03,-531.3E-03,+1.5707E+00,-1.6945E+00
-500.0E-03,-642.8E-03,-259.8E-03,+2.2484E+00,-2.4387E+00
-490.0E-03,-529.1E-03,+472.7E-03,+2.3813E+00,-2.5852E+00
-480.0E-03,-442.0E-03,+982.4E-03,+1.8520E+00,-2.0031E+00
-470.0E-03,-461.2E-03,+791.0E-03,+1.1469E+00,-1.2219E+00
-460.0E-03,-570.9E-03,+76.2E-03,+930.1E-03,-979.7E-03
-450.0E-03,-668.2E-03,-490.2E-03,+1.4027E+00,-1.5090E+00
-440.0E-03,-661.6E-03,-384.8E-03,+2.1254E+00,-2.3039E+00
-430.0E-03,-558.8E-03,+294.9E-03,+2.4223E+00,-2.6301E+00
-420.0E-03,-455.3E-03,+918.0E-03,+2.0180E+00,-2.1848E+00
-410.0E-03,-447.9E-03,+898.4E-03,+1.2914E+00,-1.3840E+00
-400.0E-03,-545.5E-03,+252.0E-03,+920.3E-03,-969.9E-03
-390.0E-03,-656.9E-03,-412.1E-03,+1.2563E+00,-1.3449E+00
-380.0E-03,-679.5E-03,-480.5E-03,+1.9906E+00,-2.1555E+00
-370.0E-03,-593.2E-03,+113.3E-03,+2.4340E+00,-2.6437E+00
-360.0E-03,-479.9E-03,+818.4E-03,+2.1820E+00,-2.3684E+00
-350.0E-03,-445.5E-03,+974.6E-03,+1.4691E+00,-1.5812E+00
-340.0E-03,-524.1E-03,+431.6E-03,+961.3E-03,-1.0168E+00
-330.0E-03,-643.6E-03,-296.9E-03,+1.1410E+00,-1.2160E+00
-320.0E-03,-691.2E-03,-531.2E-03,+1.8402E+00,-1.9895E+00
-310.0E-03,-624.8E-03,-54.7E-03,+2.4047E+00,-2.6125E+00
-300.0E-03,-505.7E-03,+693.4E-03,+2.3129E+00,-2.5090E+00
-290.0E-03,-445.5E-03,+1.0098E+00,+1.6469E+00,-1.7766E+00
-280.0E-03,-501.8E-03,+597.7E-03,+1.0316E+00,-1.0949E+00
-270.0E-03,-620.9E-03,-154.3E-03,+1.0414E+00,-1.1066E+00
-260.0E-03,-692.4E-03,-544.9E-03,+1.6723E+00,-1.8059E+00
-250.0E-03,-650.2E-03,-210.9E-03,+2.3285E+00,-2.5266E+00
-240.0E-03,-533.0E-03,+535.2E-03,+2.4027E+00,-2.6086E+00
-230.0E-03,-452.2E-03,+1.0020E+00,+1.8266E+00,-1.9758E+00
-220.0E-03,-482.3E-03,+744.1E-03,+1.1371E+00,-1.2102E+00
-210.0E-03,-596.3E-03,+9.8E-03,+980.9E-03,-1.0383E+00
-200.0E-03,-688.5E-03,-517.6E-03,+1.5063E+00,-1.6223E+00
-190.0E-03,-672.9E-03,-347.7E-03,+2.2211E+00,-2.4094E+00
-180.0E-03,-565.9E-03,+361.3E-03,+2.4633E+00,-2.6750E+00
-170.0E-03,-465.9E-03,+953.1E-03,+2.0063E+00,-2.1730E+00
-160.0E-03,-468.6E-03,+867.2E-03,+1.2777E+00,-1.3703E+00
-150.0E-03,-571.7E-03,+185.5E-03,+961.3E-03,-1.0148E+00
-140.0E-03,-679.1E-03,-449.2E-03,+1.3539E+00,-1.4523E+00
-130.0E-03,-690.5E-03,-449.2E-03,+2.0902E+00,-2.2648E+00
-120.0E-03,-596.3E-03,+185.5E-03,+2.4809E+00,-2.6926E+00
-110.0E-03,-485.0E-03,+865.2E-03,+2.1664E+00,-2.3488E+00
-100.0E-03,-460.8E-03,+953.1E-03,+1.4398E+00,-1.5480E+00
-90.0E-03,-545.9E-03,+365.2E-03,+978.9E-03,-1.0344E+00
-80.0E-03,-662.3E-03,-343.8E-03,+1.2191E+00,-1.3039E+00
-70.0E-03,-699.5E-03,-513.7E-03,+1.9320E+00,-2.0910E+00
-60.0E-03,-624.1E-03,+11.7E-03,+2.4535E+00,-2.6633E+00
-50.0E-03,-505.7E-03,+746.1E-03,+2.2953E+00,-2.4895E+00
-40.0E-03,-454.5E-03,+1.0020E+00,+1.6039E+00,-1.7297E+00
-30.0E-03,-518.6E-03,+537.1E-03,+1.0258E+00,-1.0871E+00
-20.0E-03,-637.7E-03,-209.0E-03,+1.0980E+00,-1.1672E+00
-10.0E-03,-699.5E-03,-543.0E-03,+1.7563E+00,-1.8977E+00
+0.0E+00,-645.2E-03,-148.4E-03,+2.3773E+00,-2.5812E+00
+10.0E-03,-526.4E-03,+601.6E-03,+2.3813E+00,-2.5852E+00
+20.0E-03,-454.9E-03,+1.0059E+00,+1.7680E+00,-1.9113E+00
+30.0E-03,-495.5E-03,+685.5E-03,+1.1078E+00,-1.1789E+00
+40.0E-03,-611.2E-03,-56.6E-03,+1.0180E+00,-1.0812E+00
+50.0E-03,-694.4E-03,-527.3E-03,+1.5844E+00,-1.7082E+00
+60.0E-03,-667.4E-03,-293.0E-03,+2.2758E+00,-2.4699E+00
+70.0E-03,-556.1E-03,+431.6E-03,+2.4496E+00,-2.6613E+00
+80.0E-03,-463.5E-03,+972.7E-03,+1.9438E+00,-2.1047E+00
+90.0E-03,-477.2E-03,+818.4E-03,+1.2309E+00,-1.3176E+00
+100.0E-03,-583.8E-03,+117.2E-03,+975.0E-03,-1.0324E+00
+110.0E-03,-683.0E-03,-472.7E-03,+1.4184E+00,-1.5246E+00
+120.0E-03,-681.9E-03,-404.3E-03,+2.1430E+00,-2.3215E+00
+130.0E-03,-581.9E-03,+257.8E-03,+2.4691E+00,-2.6809E+00
+140.0E-03,-476.0E-03,+898.4E-03,+2.0980E+00,-2.2746E+00
+150.0E-03,-463.1E-03,+916.0E-03,+1.3715E+00,-1.4738E+00
+160.0E-03,-554.9E-03,+293.0E-03,+969.1E-03,-1.0246E+00
+170.0E-03,-668.6E-03,-386.7E-03,+1.2699E+00,-1.3605E+00
+180.0E-03,-696.7E-03,-492.2E-03,+1.9945E+00,-2.1613E+00
+190.0E-03,-614.3E-03,+76.2E-03,+2.4691E+00,-2.6809E+00
+200.0E-03,-499.1E-03,+791.0E-03,+2.2523E+00,-2.4426E+00
+210.0E-03,-457.7E-03,+986.3E-03,+1.5453E+00,-1.6652E+00
+220.0E-03,-530.7E-03,+472.7E-03,+1.0102E+00,-1.0695E+00
+230.0E-03,-649.5E-03,-263.7E-03,+1.1469E+00,-1.2219E+00
+240.0E-03,-703.0E-03,-537.1E-03,+1.8305E+00,-1.9797E+00
+250.0E-03,-642.0E-03,-93.7E-03,+2.4184E+00,-2.6262E+00
+260.0E-03,-522.1E-03,+656.3E-03,+2.3637E+00,-2.5656E+00
+270.0E-03,-458.0E-03,+1.0098E+00,+1.7191E+00,-1.8566E+00
+280.0E-03,-508.0E-03,+632.8E-03,+1.0844E+00,-1.1516E+00
+290.0E-03,-627.6E-03,-119.1E-03,+1.0570E+00,-1.1242E+00
+300.0E-03,-703.7E-03,-541.0E-03,+1.6664E+00,-1.7980E+00
+310.0E-03,-665.9E-03,-242.2E-03,+2.3363E+00,-2.5363E+00
+320.0E-03,-550.6E-03,+500.0E-03,+2.4477E+00,-2.6574E+00
+330.0E-03,-464.7E-03,+994.1E-03,+1.8949E+00,-2.0500E+00
+340.0E-03,-488.9E-03,+773.4E-03,+1.1938E+00,-1.2746E+00
+350.0E-03,-601.4E-03,+46.9E-03,+1.0004E+00,-1.0598E+00
+360.0E-03,-697.9E-03,-507.8E-03,+1.5004E+00,-1.6145E+00
+370.0E-03,-689.3E-03,-375.0E-03,+2.2270E+00,-2.4152E+00
+380.0E-03,-585.4E-03,+318.4E-03,+2.5043E+00,-2.7199E+00
+390.0E-03,-483.4E-03,+931.6E-03,+2.0824E+00,-2.2570E+00
+400.0E-03,-479.5E-03,+890.6E-03,+1.3520E+00,-1.4523E+00
+410.0E-03,-577.2E-03,+230.5E-03,+996.5E-03,-1.0559E+00
+420.0E-03,-687.3E-03,-425.8E-03,+1.3539E+00,-1.4523E+00
+430.0E-03,-704.5E-03,-466.8E-03,+2.0844E+00,-2.2590E+00
+440.0E-03,-614.7E-03,+140.6E-03,+2.5082E+00,-2.7238E+00
+450.0E-03,-501.0E-03,+839.8E-03,+2.2309E+00,-2.4191E+00
+460.0E-03,-470.2E-03,+968.7E-03,+1.5082E+00,-1.6242E+00
+470.0E-03,-551.0E-03,+406.2E-03,+1.0199E+00,-1.0793E+00
+480.0E-03,-668.6E-03,-314.5E-03,+1.2191E+00,-1.3020E+00
+490.0E-03,-713.5E-03,-527.3E-03,+1.9262E+00,-2.0852E+00
+500.0E-03,-645.2E-03,-33.2E-03,+2.4770E+00,-2.6887E+00
+510.0E-03,-526.0E-03,+710.9E-03,+2.3617E+00,-2.5637E+00
+520.0E-03,-469.8E-03,+1.0078E+00,+1.6898E+00,-1.8254E+00
+530.0E-03,-528.4E-03,+576.2E-03,+1.0844E+00,-1.1535E+00
+540.0E-03,-647.5E-03,-173.8E-03,+1.1195E+00,-1.1926E+00
+550.0E-03,-715.5E-03,-543.0E-03,+1.7582E+00,-1.8996E+00
+560.0E-03,-669.0E-03,-189.5E-03,+2.4008E+00,-2.6066E+00
+570.0E-03,-552.6E-03,+558.6E-03,+2.4535E+00,-2.6633E+00
+580.0E-03,-473.7E-03,+1.0039E+00,+1.8637E+00,-2.0148E+00
+590.0E-03,-507.7E-03,+724.6E-03,+1.1840E+00,-1.2648E+00
+600.0E-03,-623.7E-03,-15.6E-03,+1.0512E+00,-1.1164E+00
+610.0E-03,-713.1E-03,-525.4E-03,+1.5941E+00,-1.7180E+00
+620.0E-03,-694.0E-03,-330.1E-03,+2.3070E+00,-2.5031E+00
+630.0E-03,-584.2E-03,+388.7E-03,+2.5219E+00,-2.7395E+00
+640.0E-03,-487.0E-03,+962.9E-03,+2.0453E+00,-2.2180E+00
+650.0E-03,-493.2E-03,+853.5E-03,+1.3188E+00,-1.4133E+00
+660.0E-03,-596.7E-03,+162.1E-03,+1.0219E+00,-1.0832E+00
+670.0E-03,-700.6E-03,-459.0E-03,+1.4340E+00,-1.5422E+00
+680.0E-03,-705.7E-03,-429.7E-03,+2.1625E+00,-2.3430E+00
+690.0E-03,-607.3E-03,+218.8E-03,+2.5258E+00,-2.7434E+00
+700.0E-03,-497.1E-03,+884.8E-03,+2.1840E+00,-2.3664E+00
+710.0E-03,-476.4E-03,+943.4E-03,+1.4516E+00,-1.5617E+00
+720.0E-03,-564.7E-03,+335.9E-03,+1.0141E+00,-1.0734E+00
+730.0E-03,-679.1E-03,-361.3E-03,+1.2777E+00,-1.3684E+00
+740.0E-03,-711.6E-03,-503.9E-03,+1.9965E+00,-2.1633E+00
+750.0E-03,-633.0E-03,+39.1E-03,+2.4945E+00,-2.7102E+00
+760.0E-03,-515.9E-03,+765.6E-03,+2.3109E+00,-2.5070E+00
+770.0E-03,-469.4E-03,+994.1E-03,+1.6176E+00,-1.7434E+00
+780.0E-03,-535.8E-03,+511.7E-03,+1.0551E+00,-1.1203E+00
+790.0E-03,-652.6E-03,-224.6E-03,+1.1527E+00,-1.2277E+00
+800.0E-03,-709.2E-03,-531.2E-03,+1.8129E+00,-1.9602E+00
+810.0E-03,-652.2E-03,-123.0E-03,+2.4145E+00,-2.6203E+00
+820.0E-03,-534.2E-03,+621.1E-03,+2.3969E+00,-2.6027E+00
