x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-560.0E-03,-532.3E-03,+285.2E-03,+1.4555E+00,-1.5695E+00
-550.0E-03,-535.4E-03,+265.6E-03,+1.4145E+00,-1.5227E+00
-540.0E-03,-538.5E-03,+244.1E-03,+1.3910E+00,-1.4953E+00
-530.0E-03,-542.8E-03,+218.8E-03,+1.3910E+00,-1.4973E+00
-520.0E-03,-547.9E-03,+195.3E-03,+1.4164E+00,-1.5266E+00
-510.0E-03,-551.4E-03,+177.7E-03,+1.4633E+00,-1.5773E+00
-500.0E-03,-553.7E-03,+166.0E-03,+1.5238E+00,-1.6457E+00
-490.0E-03,-554.9E-03,+162.1E-03,+1.5922E+00,-1.7199E+00
-480.0E-03,-554.5E-03,+162.1E-03,+1.6625E+00,-1.7980E+00
-470.0E-03,-554.1E-03,+166.0E-03,+1.7309E+00,-1.8723E+00
-460.0E-03,-551.4E-03,+177.7E-03,+1.7895E+00,-1.9367E+00
-450.0E-03,-549.1E-03,+195.3E-03,+1.8363E+00,-1.9875E+00
-440.0E-03,-544.0E-03,+220.7E-03,+1.8617E+00,-2.0129E+00
-430.0E-03,-538.5E-03,+246.1E-03,+1.8598E+00,-2.0129E+00
-420.0E-03,-534.6E-03,+265.6E-03,+1.8363E+00,-1.9875E+00
-410.0E-03,-530.7E-03,+283.2E-03,+1.7934E+00,-1.9387E+00
-400.0E-03,-527.2E-03,+296.9E-03,+1.7367E+00,-1.8781E+00
-390.0E-03,-524.1E-03,+306.6E-03,+1.6664E+00,-1.8020E+00
-380.0E-03,-522.5E-03,+308.6E-03,+1.5883E+00,-1.7180E+00
-370.0E-03,-523.3E-03,+302.7E-03,+1.5160E+00,-1.6359E+00
-360.0E-03,-524.8E-03,+289.1E-03,+1.4516E+00,-1.5656E+00
-350.0E-03,-528.4E-03,+267.6E-03,+1.4066E+00,-1.5148E+00
-340.0E-03,-532.3E-03,+248.0E-03,+1.3813E+00,-1.4855E+00
-330.0E-03,-536.2E-03,+226.6E-03,+1.3773E+00,-1.4797E+00
-320.0E-03,-540.5E-03,+207.0E-03,+1.3949E+00,-1.4992E+00
-310.0E-03,-544.0E-03,+185.5E-03,+1.4301E+00,-1.5402E+00
-300.0E-03,-547.5E-03,+169.9E-03,+1.4848E+00,-1.6027E+00
-290.0E-03,-549.1E-03,+160.2E-03,+1.5531E+00,-1.6770E+00
-280.0E-03,-548.3E-03,+162.1E-03,+1.6234E+00,-1.7551E+00
-270.0E-03,-547.9E-03,+166.0E-03,+1.6938E+00,-1.8312E+00
-260.0E-03,-546.7E-03,+173.8E-03,+1.7543E+00,-1.8977E+00
-250.0E-03,-544.8E-03,+187.5E-03,+1.8090E+00,-1.9562E+00
-240.0E-03,-542.0E-03,+207.0E-03,+1.8422E+00,-1.9934E+00
-230.0E-03,-538.1E-03,+232.4E-03,+1.8539E+00,-2.0070E+00
-220.0E-03,-534.6E-03,+255.9E-03,+1.8422E+00,-1.9934E+00
-210.0E-03,-531.1E-03,+277.3E-03,+1.8070E+00,-1.9543E+00
-200.0E-03,-528.0E-03,+293.0E-03,+1.7563E+00,-1.8996E+00
-190.0E-03,-525.6E-03,+302.7E-03,+1.6898E+00,-1.8273E+00
-180.0E-03,-524.5E-03,+306.6E-03,+1.6156E+00,-1.7473E+00
-170.0E-03,-525.6E-03,+300.8E-03,+1.5453E+00,-1.6672E+00
-160.0E-03,-527.6E-03,+289.1E-03,+1.4809E+00,-1.5969E+00
-150.0E-03,-531.9E-03,+273.4E-03,+1.4320E+00,-1.5422E+00
-140.0E-03,-535.4E-03,+253.9E-03,+1.4008E+00,-1.5051E+00
-130.0E-03,-538.5E-03,+236.3E-03,+1.3871E+00,-1.4914E+00
-120.0E-03,-542.8E-03,+214.8E-03,+1.3949E+00,-1.5012E+00
-110.0E-03,-545.9E-03,+191.4E-03,+1.4242E+00,-1.5324E+00
-100.0E-03,-549.5E-03,+173.8E-03,+1.4730E+00,-1.5891E+00
-90.0E-03,-551.8E-03,+162.1E-03,+1.5375E+00,-1.6594E+00
-80.0E-03,-551.8E-03,+160.2E-03,+1.6078E+00,-1.7395E+00
-70.0E-03,-551.8E-03,+162.1E-03,+1.6801E+00,-1.8176E+00
-60.0E-03,-551.4E-03,+168.0E-03,+1.7465E+00,-1.8879E+00
-50.0E-03,-549.8E-03,+181.6E-03,+1.8051E+00,-1.9523E+00
-40.0E-03,-546.3E-03,+203.1E-03,+1.8461E+00,-1.9953E+00
-30.0E-03,-541.6E-03,+228.5E-03,+1.8617E+00,-2.0148E+00
-20.0E-03,-537.7E-03,+252.0E-03,+1.8539E+00,-2.0070E+00
-10.0E-03,-533.8E-03,+271.5E-03,+1.8227E+00,-1.9719E+00
+0.0E+00,-531.5E-03,+285.2E-03,+1.7777E+00,-1.9230E+00
+10.0E-03,-529.9E-03,+296.9E-03,+1.7191E+00,-1.8586E+00
+20.0E-03,-528.7E-03,+302.7E-03,+1.6508E+00,-1.7844E+00
+30.0E-03,-529.1E-03,+302.7E-03,+1.5805E+00,-1.7062E+00
+40.0E-03,-530.7E-03,+294.9E-03,+1.5121E+00,-1.6301E+00
+50.0E-03,-534.2E-03,+279.3E-03,+1.4574E+00,-1.5715E+00
+60.0E-03,-537.3E-03,+261.7E-03,+1.4184E+00,-1.5266E+00
+70.0E-03,-540.5E-03,+242.2E-03,+1.3969E+00,-1.5031E+00
+80.0E-03,-545.9E-03,+218.8E-03,+1.3988E+00,-1.5051E+00
+90.0E-03,-550.2E-03,+195.3E-03,+1.4242E+00,-1.5344E+00
+100.0E-03,-553.7E-03,+177.7E-03,+1.4730E+00,-1.5871E+00
+110.0E-03,-556.9E-03,+166.0E-03,+1.5316E+00,-1.6535E+00
+120.0E-03,-558.4E-03,+158.2E-03,+1.6020E+00,-1.7316E+00
+130.0E-03,-557.7E-03,+162.1E-03,+1.6762E+00,-1.8117E+00
+140.0E-03,-555.3E-03,+171.9E-03,+1.7406E+00,-1.8820E+00
+150.0E-03,-553.7E-03,+181.6E-03,+1.7973E+00,-1.9445E+00
+160.0E-03,-550.2E-03,+197.3E-03,+1.8402E+00,-1.9914E+00
+170.0E-03,-545.5E-03,+220.7E-03,+1.8637E+00,-2.0168E+00
+180.0E-03,-541.2E-03,+244.1E-03,+1.8656E+00,-2.0168E+00
+190.0E-03,-537.3E-03,+263.7E-03,+1.8422E+00,-1.9934E+00
+200.0E-03,-534.2E-03,+281.3E-03,+1.8031E+00,-1.9484E+00
+210.0E-03,-531.5E-03,+294.9E-03,+1.7445E+00,-1.8859E+00
+220.0E-03,-530.7E-03,+302.7E-03,+1.6762E+00,-1.8137E+00
+230.0E-03,-531.1E-03,+302.7E-03,+1.6059E+00,-1.7355E+00
+240.0E-03,-532.7E-03,+296.9E-03,+1.5375E+00,-1.6594E+00
+250.0E-03,-535.0E-03,+285.2E-03,+1.4809E+00,-1.5949E+00
+260.0E-03,-538.1E-03,+269.5E-03,+1.4340E+00,-1.5441E+00
+270.0E-03,-541.6E-03,+250.0E-03,+1.4066E+00,-1.5129E+00
+280.0E-03,-547.1E-03,+224.6E-03,+1.4027E+00,-1.5090E+00
+290.0E-03,-551.4E-03,+201.2E-03,+1.4223E+00,-1.5305E+00
+300.0E-03,-554.1E-03,+185.5E-03,+1.4633E+00,-1.5773E+00
+310.0E-03,-555.7E-03,+173.8E-03,+1.5160E+00,-1.6340E+00
+320.0E-03,-556.5E-03,+166.0E-03,+1.5766E+00,-1.7043E+00
+330.0E-03,-556.1E-03,+162.1E-03,+1.6469E+00,-1.7785E+00
+340.0E-03,-554.1E-03,+168.0E-03,+1.7133E+00,-1.8527E+00
