x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-5.0000E+00,-981.9E-03,-2.2324E+00,-577.7E-03,+695.2E-03
-4.9900E+00,-983.0E-03,-2.1133E+00,+2.1469E+00,-2.3243E+00
-4.9800E+00,-596.7E-03,+449.2E-03,+3.3129E+00,-3.5001E+00
-4.9700E+00,-278.0E-03,+2.2656E+00,+2.0922E+00,-2.2696E+00
-4.9600E+00,-332.7E-03,+1.6641E+00,+250.4E-03,-228.6E-03
-4.9500E+00,-618.2E-03,-203.1E-03,-191.0E-03,+261.6E-03
-4.9400E+00,-785.8E-03,-1.1387E+00,+894.9E-03,-945.4E-03
-4.9300E+00,-690.5E-03,-400.4E-03,+2.0453E+00,-2.2189E+00
-4.9200E+00,-490.5E-03,+867.2E-03,+2.0746E+00,-2.2501E+00
-4.9100E+00,-412.3E-03,+1.2539E+00,+1.2094E+00,-1.2970E+00
-4.9000E+00,-510.0E-03,+562.5E-03,+539.5E-03,-552.8E-03
-4.8900E+00,-644.4E-03,-252.0E-03,+705.5E-03,-736.4E-03
-4.8800E+00,-671.3E-03,-332.0E-03,+1.3500E+00,-1.4532E+00
-4.8700E+00,-590.5E-03,+232.4E-03,+1.7094E+00,-1.8497E+00
-4.8600E+00,-510.4E-03,+722.7E-03,+1.4867E+00,-1.6036E+00
-4.8500E+00,-514.7E-03,+650.4E-03,+1.0453E+00,-1.1134E+00
-4.8400E+00,-582.3E-03,+220.7E-03,+891.0E-03,-939.6E-03
-4.8300E+00,-631.1E-03,-44.9E-03,+1.1176E+00,-1.1935E+00
-4.8200E+00,-618.6E-03,+84.0E-03,+1.4125E+00,-1.5216E+00
-4.8100E+00,-572.5E-03,+386.7E-03,+1.4613E+00,-1.5763E+00
-4.8000E+00,-550.2E-03,+513.7E-03,+1.2758E+00,-1.3673E+00
-4.7900E+00,-570.2E-03,+377.0E-03,+1.1000E+00,-1.1720E+00
-4.7800E+00,-603.4E-03,+177.7E-03,+1.1137E+00,-1.1896E+00
-4.7700E+00,-614.7E-03,+132.8E-03,+1.2641E+00,-1.3556E+00
-4.7600E+00,-598.7E-03,+252.0E-03,+1.3656E+00,-1.4689E+00
-4.7500E+00,-580.7E-03,+375.0E-03,+1.3305E+00,-1.4298E+00
-4.7400E+00,-580.7E-03,+375.0E-03,+1.2309E+00,-1.3185E+00
-4.7300E+00,-597.1E-03,+281.3E-03,+1.1859E+00,-1.2696E+00
-4.7200E+00,-612.0E-03,+209.0E-03,+1.2348E+00,-1.3224E+00
-4.7100E+00,-611.6E-03,+230.5E-03,+1.3090E+00,-1.4044E+00
-4.7000E+00,-603.0E-03,+298.8E-03,+1.3305E+00,-1.4298E+00
-4.6900E+00,-598.3E-03,+335.9E-03,+1.2934E+00,-1.3888E+00
-4.6800E+00,-603.8E-03,+310.5E-03,+1.2523E+00,-1.3439E+00
-4.6700E+00,-613.5E-03,+261.7E-03,+1.2543E+00,-1.3458E+00
-4.6600E+00,-618.2E-03,+246.1E-03,+1.2895E+00,-1.3849E+00
-4.6500E+00,-616.3E-03,+271.5E-03,+1.3188E+00,-1.4181E+00
-4.6400E+00,-612.7E-03,+302.7E-03,+1.3168E+00,-1.4142E+00
-4.6300E+00,-613.5E-03,+306.6E-03,+1.2953E+00,-1.3907E+00
