x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-5.0000E+00,-727.2E-03,-740.2E-03,-1.6227E+00,+1.8690E+00
-4.9900E+00,-738.9E-03,-753.9E-03,-1.7535E+00,+2.0175E+00
-4.9800E+00,-744.4E-03,-759.8E-03,-1.7516E+00,+2.0175E+00
-4.9700E+00,-745.9E-03,-761.7E-03,-1.7516E+00,+2.0155E+00
-4.9600E+00,-745.9E-03,-761.7E-03,-1.7516E+00,+2.0155E+00
-4.9500E+00,-744.8E-03,-759.8E-03,-1.7516E+00,+2.0175E+00
-4.9400E+00,-742.8E-03,-757.8E-03,-1.7535E+00,+2.0175E+00
-4.9300E+00,-739.3E-03,-753.9E-03,-1.7535E+00,+2.0175E+00
-4.9200E+00,-734.6E-03,-750.0E-03,-1.7535E+00,+2.0175E+00
-4.9100E+00,-730.7E-03,-746.1E-03,-1.7535E+00,+2.0175E+00
-4.9000E+00,-727.2E-03,-742.2E-03,-1.7535E+00,+2.0194E+00
-4.8900E+00,-723.3E-03,-738.3E-03,-1.7555E+00,+2.0194E+00
-4.8800E+00,-720.2E-03,-734.4E-03,-1.7555E+00,+2.0194E+00
-4.8700E+00,-716.3E-03,-730.5E-03,-1.7555E+00,+2.0194E+00
-4.8600E+00,-714.3E-03,-728.5E-03,-1.7555E+00,+2.0194E+00
-4.8500E+00,-710.8E-03,-724.6E-03,-1.7555E+00,+2.0214E+00
-4.8400E+00,-706.5E-03,-720.7E-03,-1.7574E+00,+2.0214E+00
-4.8300E+00,-703.0E-03,-716.8E-03,-1.7574E+00,+2.0214E+00
-4.8200E+00,-697.9E-03,-710.9E-03,-1.7574E+00,+2.0233E+00
-4.8100E+00,-694.0E-03,-707.0E-03,-1.7594E+00,+2.0233E+00
-4.8000E+00,-691.3E-03,-705.1E-03,-1.7594E+00,+2.0233E+00
-4.7900E+00,-687.7E-03,-701.2E-03,-1.7594E+00,+2.0233E+00
-4.7800E+00,-684.6E-03,-697.3E-03,-1.7594E+00,+2.0253E+00
-4.7700E+00,-680.3E-03,-693.4E-03,-1.7613E+00,+2.0253E+00
-4.7600E+00,-677.2E-03,-691.4E-03,-1.7613E+00,+2.0253E+00
-4.7500E+00,-673.3E-03,-687.5E-03,-1.7613E+00,+2.0272E+00
-4.7400E+00,-672.5E-03,-685.5E-03,-1.7613E+00,+2.0253E+00
-4.7300E+00,-672.1E-03,-685.5E-03,-1.7613E+00,+2.0272E+00
-4.7200E+00,-670.2E-03,-683.6E-03,-1.7613E+00,+2.0272E+00
-4.7100E+00,-669.0E-03,-681.6E-03,-1.7613E+00,+2.0272E+00
-4.7000E+00,-667.8E-03,-681.6E-03,-1.7613E+00,+2.0272E+00
