x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-560.0E-03,-574.1E-03,+39.1E-03,+1.7113E+00,-1.8508E+00
-550.0E-03,-563.9E-03,+109.4E-03,+1.8734E+00,-2.0266E+00
-540.0E-03,-545.5E-03,+224.6E-03,+1.9398E+00,-2.0988E+00
-530.0E-03,-526.8E-03,+341.8E-03,+1.8871E+00,-2.0422E+00
-520.0E-03,-513.1E-03,+416.0E-03,+1.7348E+00,-1.8762E+00
-510.0E-03,-511.2E-03,+419.9E-03,+1.5453E+00,-1.6691E+00
-500.0E-03,-520.9E-03,+353.5E-03,+1.3852E+00,-1.4895E+00
-490.0E-03,-539.3E-03,+240.2E-03,+1.3188E+00,-1.4172E+00
-480.0E-03,-560.0E-03,+121.1E-03,+1.3734E+00,-1.4758E+00
-470.0E-03,-574.5E-03,+43.0E-03,+1.5258E+00,-1.6477E+00
-460.0E-03,-577.6E-03,+39.1E-03,+1.7230E+00,-1.8645E+00
-450.0E-03,-566.6E-03,+111.3E-03,+1.8852E+00,-2.0383E+00
-440.0E-03,-549.5E-03,+226.6E-03,+1.9496E+00,-2.1105E+00
-430.0E-03,-531.1E-03,+339.8E-03,+1.8969E+00,-2.0520E+00
-420.0E-03,-518.2E-03,+414.1E-03,+1.7465E+00,-1.8898E+00
-410.0E-03,-516.6E-03,+418.0E-03,+1.5590E+00,-1.6828E+00
-400.0E-03,-526.0E-03,+353.5E-03,+1.4008E+00,-1.5051E+00
-390.0E-03,-543.6E-03,+242.2E-03,+1.3324E+00,-1.4309E+00
-380.0E-03,-564.3E-03,+121.1E-03,+1.3852E+00,-1.4895E+00
-370.0E-03,-578.4E-03,+43.0E-03,+1.5375E+00,-1.6613E+00
-360.0E-03,-581.9E-03,+37.1E-03,+1.7367E+00,-1.8781E+00
-350.0E-03,-569.8E-03,+113.3E-03,+1.8969E+00,-2.0520E+00
-340.0E-03,-547.9E-03,+238.3E-03,+1.9555E+00,-2.1164E+00
-330.0E-03,-526.8E-03,+355.5E-03,+1.8891E+00,-2.0441E+00
-320.0E-03,-513.1E-03,+421.9E-03,+1.7270E+00,-1.8664E+00
-310.0E-03,-511.6E-03,+418.0E-03,+1.5336E+00,-1.6574E+00
-300.0E-03,-521.3E-03,+347.7E-03,+1.3813E+00,-1.4836E+00
-290.0E-03,-538.5E-03,+236.3E-03,+1.3188E+00,-1.4152E+00
-280.0E-03,-557.3E-03,+123.0E-03,+1.3734E+00,-1.4758E+00
-270.0E-03,-569.4E-03,+50.8E-03,+1.5219E+00,-1.6418E+00
-260.0E-03,-571.3E-03,+44.9E-03,+1.7113E+00,-1.8508E+00
-250.0E-03,-560.8E-03,+113.3E-03,+1.8676E+00,-2.0207E+00
-240.0E-03,-540.9E-03,+230.5E-03,+1.9301E+00,-2.0891E+00
-230.0E-03,-520.2E-03,+349.6E-03,+1.8715E+00,-2.0227E+00
-220.0E-03,-506.5E-03,+421.9E-03,+1.7113E+00,-1.8508E+00
-210.0E-03,-505.3E-03,+419.9E-03,+1.5180E+00,-1.6379E+00
-200.0E-03,-515.1E-03,+349.6E-03,+1.3617E+00,-1.4621E+00
-190.0E-03,-533.4E-03,+234.4E-03,+1.3012E+00,-1.3957E+00
-180.0E-03,-552.6E-03,+119.1E-03,+1.3598E+00,-1.4602E+00
-170.0E-03,-566.2E-03,+44.9E-03,+1.5121E+00,-1.6301E+00
-160.0E-03,-569.4E-03,+41.0E-03,+1.7074E+00,-1.8449E+00
-150.0E-03,-559.6E-03,+111.3E-03,+1.8676E+00,-2.0187E+00
-140.0E-03,-540.1E-03,+230.5E-03,+1.9301E+00,-2.0891E+00
-130.0E-03,-520.2E-03,+349.6E-03,+1.8695E+00,-2.0227E+00
-120.0E-03,-505.7E-03,+423.8E-03,+1.7094E+00,-1.8488E+00
-110.0E-03,-504.5E-03,+421.9E-03,+1.5141E+00,-1.6340E+00
-100.0E-03,-515.5E-03,+345.7E-03,+1.3578E+00,-1.4582E+00
-90.0E-03,-533.0E-03,+232.4E-03,+1.2992E+00,-1.3937E+00
-80.0E-03,-551.8E-03,+119.1E-03,+1.3598E+00,-1.4602E+00
-70.0E-03,-563.9E-03,+46.9E-03,+1.5121E+00,-1.6301E+00
-60.0E-03,-566.6E-03,+44.9E-03,+1.7016E+00,-1.8430E+00
-50.0E-03,-557.7E-03,+113.3E-03,+1.8598E+00,-2.0129E+00
-40.0E-03,-539.3E-03,+228.5E-03,+1.9242E+00,-2.0832E+00
-30.0E-03,-519.0E-03,+347.7E-03,+1.8676E+00,-2.0187E+00
-20.0E-03,-504.1E-03,+423.8E-03,+1.7055E+00,-1.8449E+00
-10.0E-03,-503.0E-03,+423.8E-03,+1.5102E+00,-1.6281E+00
+0.0E+00,-513.9E-03,+347.7E-03,+1.3520E+00,-1.4523E+00
+10.0E-03,-532.7E-03,+228.5E-03,+1.2953E+00,-1.3879E+00
+20.0E-03,-552.2E-03,+113.3E-03,+1.3598E+00,-1.4602E+00
+30.0E-03,-565.5E-03,+43.0E-03,+1.5160E+00,-1.6359E+00
+40.0E-03,-567.8E-03,+43.0E-03,+1.7113E+00,-1.8508E+00
+50.0E-03,-556.9E-03,+117.2E-03,+1.8656E+00,-2.0187E+00
+60.0E-03,-538.5E-03,+234.4E-03,+1.9242E+00,-2.0832E+00
+70.0E-03,-519.4E-03,+349.6E-03,+1.8637E+00,-2.0148E+00
+80.0E-03,-506.9E-03,+419.9E-03,+1.7055E+00,-1.8449E+00
+90.0E-03,-506.9E-03,+416.0E-03,+1.5141E+00,-1.6359E+00
+100.0E-03,-517.8E-03,+343.8E-03,+1.3637E+00,-1.4641E+00
+110.0E-03,-535.8E-03,+230.5E-03,+1.3070E+00,-1.4016E+00
+120.0E-03,-554.9E-03,+115.2E-03,+1.3695E+00,-1.4699E+00
+130.0E-03,-566.6E-03,+44.9E-03,+1.5219E+00,-1.6437E+00
+140.0E-03,-569.4E-03,+43.0E-03,+1.7152E+00,-1.8547E+00
+150.0E-03,-559.2E-03,+115.2E-03,+1.8715E+00,-2.0246E+00
+160.0E-03,-541.2E-03,+232.4E-03,+1.9301E+00,-2.0891E+00
+170.0E-03,-522.1E-03,+349.6E-03,+1.8715E+00,-2.0246E+00
+180.0E-03,-508.4E-03,+421.9E-03,+1.7113E+00,-1.8508E+00
+190.0E-03,-507.7E-03,+419.9E-03,+1.5160E+00,-1.6379E+00
+200.0E-03,-518.2E-03,+345.7E-03,+1.3617E+00,-1.4621E+00
+210.0E-03,-538.1E-03,+224.6E-03,+1.3070E+00,-1.4016E+00
+220.0E-03,-558.0E-03,+107.4E-03,+1.3754E+00,-1.4777E+00
+230.0E-03,-569.8E-03,+43.0E-03,+1.5355E+00,-1.6574E+00
+240.0E-03,-571.3E-03,+46.9E-03,+1.7270E+00,-1.8684E+00
+250.0E-03,-562.0E-03,+119.1E-03,+1.8793E+00,-2.0344E+00
+260.0E-03,-544.0E-03,+234.4E-03,+1.9379E+00,-2.0969E+00
+270.0E-03,-523.3E-03,+353.5E-03,+1.8754E+00,-2.0285E+00
+280.0E-03,-507.7E-03,+429.7E-03,+1.7113E+00,-1.8488E+00
+290.0E-03,-505.7E-03,+425.8E-03,+1.5102E+00,-1.6301E+00
+300.0E-03,-517.0E-03,+343.7E-03,+1.3520E+00,-1.4523E+00
+310.0E-03,-535.4E-03,+222.7E-03,+1.2992E+00,-1.3937E+00
+320.0E-03,-554.1E-03,+109.4E-03,+1.3676E+00,-1.4699E+00
+330.0E-03,-564.7E-03,+44.9E-03,+1.5258E+00,-1.6477E+00
+340.0E-03,-565.9E-03,+50.8E-03,+1.7152E+00,-1.8566E+00
+350.0E-03,-554.9E-03,+123.0E-03,+1.8637E+00,-2.0168E+00
+360.0E-03,-534.6E-03,+240.2E-03,+1.9164E+00,-2.0754E+00
+370.0E-03,-514.7E-03,+357.4E-03,+1.8500E+00,-2.0012E+00
+380.0E-03,-501.8E-03,+423.8E-03,+1.6840E+00,-1.8215E+00
+390.0E-03,-501.0E-03,+416.0E-03,+1.4926E+00,-1.6086E+00
+400.0E-03,-511.6E-03,+341.8E-03,+1.3402E+00,-1.4387E+00
+410.0E-03,-530.7E-03,+222.7E-03,+1.2875E+00,-1.3801E+00
+420.0E-03,-551.8E-03,+105.5E-03,+1.3578E+00,-1.4582E+00
+430.0E-03,-563.9E-03,+39.1E-03,+1.5219E+00,-1.6418E+00
+440.0E-03,-564.7E-03,+46.9E-03,+1.7172E+00,-1.8566E+00
+450.0E-03,-553.7E-03,+125.0E-03,+1.8676E+00,-2.0187E+00
+460.0E-03,-534.6E-03,+242.2E-03,+1.9184E+00,-2.0754E+00
+470.0E-03,-516.2E-03,+355.5E-03,+1.8500E+00,-1.9992E+00
+480.0E-03,-503.7E-03,+421.9E-03,+1.6879E+00,-1.8234E+00
