x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-560.0E-03,-620.2E-03,-60.5E-03,+1.7055E+00,-1.8430E+00
-550.0E-03,-611.6E-03,+13.7E-03,+1.9691E+00,-2.1320E+00
-540.0E-03,-581.1E-03,+207.0E-03,+2.0922E+00,-2.2668E+00
-530.0E-03,-547.5E-03,+412.1E-03,+2.0121E+00,-2.1789E+00
-520.0E-03,-527.6E-03,+519.5E-03,+1.7660E+00,-1.9094E+00
-510.0E-03,-533.8E-03,+464.8E-03,+1.4945E+00,-1.6105E+00
-500.0E-03,-562.3E-03,+285.2E-03,+1.3441E+00,-1.4426E+00
-490.0E-03,-598.3E-03,+72.3E-03,+1.3988E+00,-1.5031E+00
-480.0E-03,-623.3E-03,-54.7E-03,+1.6293E+00,-1.7609E+00
-470.0E-03,-622.5E-03,-27.3E-03,+1.9125E+00,-2.0676E+00
-460.0E-03,-597.5E-03,+140.6E-03,+2.0941E+00,-2.2687E+00
-450.0E-03,-562.3E-03,+357.4E-03,+2.0746E+00,-2.2473E+00
-440.0E-03,-535.8E-03,+503.9E-03,+1.8656E+00,-2.0187E+00
-430.0E-03,-533.4E-03,+500.0E-03,+1.5844E+00,-1.7102E+00
-420.0E-03,-556.1E-03,+349.6E-03,+1.3813E+00,-1.4836E+00
-410.0E-03,-590.9E-03,+134.8E-03,+1.3695E+00,-1.4719E+00
-400.0E-03,-619.4E-03,-25.4E-03,+1.5531E+00,-1.6770E+00
-390.0E-03,-626.0E-03,-48.8E-03,+1.8305E+00,-1.9797E+00
-380.0E-03,-608.4E-03,+78.1E-03,+2.0551E+00,-2.2258E+00
-370.0E-03,-574.8E-03,+287.1E-03,+2.1039E+00,-2.2785E+00
-360.0E-03,-544.8E-03,+466.8E-03,+1.9516E+00,-2.1125E+00
-350.0E-03,-533.8E-03,+517.6E-03,+1.6801E+00,-1.8156E+00
-340.0E-03,-547.1E-03,+412.1E-03,+1.4359E+00,-1.5461E+00
